chr,start,end,pos_37,driver,CTCF_interactions,CTCF_chains,POLR2A_interactions,POLR2A_chains
1,43981392,43981392,44447064,0,0,0,1,1
1,193142068,193142068,193111198,1,0,0,0,0
1,239913497,239913497,240076797,0,0,0,0,0
1,189107161,189107161,189076292,0,0,0,0,0
1,212035724,212035724,212209066,1,0,0,1,1
1,226166032,226166032,226353733,0,0,0,0,0
1,178478162,178478162,178447297,0,0,0,0,0
1,16150965,16150965,16477460,1,0,0,0,0
1,151776199,151776199,151748675,0,0,0,0,0
1,150279797,150279797,150252208,0,0,0,0,0
1,182474402,182474402,182443537,0,0,0,0,0
1,48235786,48235786,48701458,0,0,0,0,0
1,201008858,201008858,200977986,0,0,0,0,0
1,222665600,222665600,222838942,0,0,0,0,0
1,212035648,212035648,212208990,1,0,0,1,1
1,212035758,212035758,212209100,1,0,0,1,1
1,119915381,119915381,120458004,0,0,0,0,0
1,235755641,235755641,235918941,0,0,0,0,0
1,208851956,208851956,209025301,0,0,0,0,0
1,153095146,153095146,153067622,0,0,0,0,0
1,45019036,45019036,45484708,0,0,0,0,0
1,147172055,147172055,146643634,0,0,0,0,0
1,74862256,74862256,75327940,0,0,0,0,0
1,161049307,161049307,161019097,0,0,0,0,0
1,199606435,199606435,199575563,0,0,0,0,0
1,213678306,213678306,213851649,0,0,0,0,0
1,158359142,158359142,158328932,0,0,0,0,0
1,66803864,66803864,67269547,0,0,0,0,0
1,77926495,77926495,78392180,0,0,0,0,0
1,114736756,114736756,115279377,1,0,0,0,0
1,156738411,156738411,156708203,0,0,0,0,0
1,109745606,109745606,110288228,0,0,0,0,0
1,175019740,175019740,174988876,0,0,0,0,0
1,45501705,45501705,45967377,0,0,0,0,0
1,212788731,212788731,212962073,0,0,0,0,0
1,155177229,155177229,155149705,0,0,0,1,1
1,80026255,80026255,80491940,0,0,0,0,0
1,26729650,26729650,27056141,1,0,0,0,0
1,26775221,26775221,27101712,1,0,0,0,0
1,26772633,26772633,27099124,1,0,0,7,5
1,26773579,26773579,27100070,1,0,0,0,0
1,161120664,161120664,161090454,0,0,0,0,0
1,153618935,153618935,153591411,0,0,0,34,17
1,18787895,18787895,19114389,0,0,0,0,0
1,48074531,48074531,48540203,0,0,0,0,0
1,35743531,35743531,36209132,1,0,0,0,0
1,119923986,119923986,120466609,1,0,0,0,0
1,236599664,236599664,236762964,0,0,0,0,0
1,77949301,77949301,78414986,1,0,0,0,0
1,191421235,191421235,191390365,0,0,0,0,0
1,2557835,2557835,2489274,1,0,0,0,0
1,151050674,151050674,151023150,0,0,0,0,0
1,2560716,2560716,2492155,1,0,0,2,1
1,30119479,30119479,30592326,0,0,0,0,0
1,1406995,1406995,1342375,0,0,0,0,0
1,206905021,206905021,207078366,0,0,0,0,0
1,37996860,37996860,38462532,0,0,0,0,0
1,109750737,109750737,110293359,0,0,0,0,0
1,69435510,69435510,69901193,0,0,0,0,0
1,195311162,195311162,195280292,0,0,0,0,0
10,21404406,21404406,21693335,0,0,0,0,0
10,45973290,45973290,51622545,0,0,0,0,0
10,87957852,87957852,89717609,1,0,0,0,0
10,22387807,22387807,22676736,0,0,0,0,0
10,87965285,87965285,89725042,1,0,0,0,0
10,68749135,68749135,70508892,1,0,0,0,0
10,87952117,87952117,89711874,1,0,0,0,0
10,87894111,87894111,89653868,1,0,0,0,0
10,35029642,35029642,35318570,1,0,0,0,0
10,86921696,86921696,88681453,1,0,0,0,0
10,61902158,61902158,63661917,1,0,0,1,1
10,87952260,87952260,89712017,1,0,0,0,0
10,87960893,87960893,89720650,1,0,0,0,0
10,133753801,133753801,135491126,0,0,0,0,0
10,87952116,87952116,89711873,1,0,0,0,0
